title,url,timestamp,author,editor,content,content_images,tags
SBM ITB Gelar Pelatihan Diversifikasi Produk Pangan,https://itb.ac.id/berita/sbm-itb-gelar-pelatihan-diversifikasi-produk-pangan/3980,"Rabu, 31 - Juli - 2013, 20:38:17",Diviezetha Astrella Thamrin,Diviezetha Astrella Thamrin,"BANDUNG, itb.ac.id - Sekolah Bisnis dan Manajemen (SBM) ITB menggelar sebuah Program Diversifikasi IPTEKS dalam bentuk pelatihan masyarakat pada Kamis (25/07/13). Dengan tajuk ""Diversifikasi, Teknologi Kemasan dan Pemasaran Produk Berbahan Baku Ubi Jalar"", program pelatihan ini juga merupakan salah bentuk pengabdian masyarakat dari SBM ITB. Pelatihan yang dilaksanakan di Kampus ITB Jatinangor ini merupakan gerakan yang dilakukan secara nasional melalui kegiatan Gerakan Nasional Penganekaragaman Pangan (GNPP).","[""https://itb.ac.id/files/92/20130731/1375277839.jpg"", ""https://itb.ac.id/files/92/20130731/1375277839.jpg""]",[]
Mendikbud Turut Resmikan Kampus Baru ITB di Jatinangor,https://itb.ac.id/berita/mendikbud-turut-resmikan-kampus-baru-itb-di-jatinangor/3977,"Senin, 29 - Juli - 2013, 10:19:53",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130728/1374972660.jpg""]",[]
Buka Bersama Penerima Bidik Misi Hadirkan Sohibul Iman dan Ridwansyah Yusuf,https://itb.ac.id/berita/buka-bersama-penerima-bidik-misi-hadirkan-sohibul-iman-dan-ridwansyah-yusuf/3976,"Selasa, 23 - Juli - 2013, 08:07:53",Hafshah Najma Ashrawi,Hafshah Najma Ashrawi,"BANDUNG,itb.ac.id - Jumat (19/07/13) lalu, ITB menggelar buka bersama penerima beasiswa Bidik Misi ITB di Aula Timur ITB. Sebelumnya,diadakan pula diskusi mengenai kiat menuntut ilmu di negeri asing dan bagaimana menjadi mahasiswa aktif yang berbasis kompetensi. Kedua topik tersebut dibawakan oleh Dr. M. Sohibul Iman (Wakil Ketua Dewan Perwakilan Republik Indonesia) dan Ridwansyah Yusuf Achmad (Sekretaris JendralPerhimpunan Pelajar Indonesia). Tidak lupa, acara buka bersama ini dibuka oleh Prof. Dr. Akhmaloka selaku rektor ITB.","[""https://itb.ac.id/files/98/20130723/1374540827.jpg"", ""https://itb.ac.id/files/98/20130723/1374540827.jpg""]",[]
ITB Tanda Tangani MoU dengan General Electric untuk Program Executive University,https://itb.ac.id/berita/itb-tanda-tangani-mou-dengan-general-electric-untuk-program-executive-university/3975,"Jumat, 19 - Juli - 2013, 12:16:28",Neli Syahida,Neli Syahida,,"[""https://itb.ac.id/files/91/20130719/1374210865.jpg""]",[]
SUNDA FEST ITB 2013: Cara Unik Lestarikan Budaya Sunda,https://itb.ac.id/berita/sunda-fest-itb-2013-cara-unik-lestarikan-budaya-sunda/3964,"Rabu, 3 - Juli - 2013, 20:30:35",Akbar Syahid Rabbani,Akbar Syahid Rabbani,,"[""https://itb.ac.id/files/97/20130702/1372773006.jpg"", ""https://itb.ac.id/files/97/20130702/1372773006.jpg""]",[]
Kaitan Sains dan Seni bersama Prof. Susanto Imam Rahayu,https://itb.ac.id/berita/kaitan-sains-dan-seni-bersama-prof-susanto-imam-rahayu/3963,"Rabu, 3 - Juli - 2013, 20:21:14",Nida Nurul Huda,Nida Nurul Huda,,"[""https://itb.ac.id/files/100/20130703/1372857441.jpg""]",[]
Survei 4ICU dan Webometrics: ITB Tetap Menjadi Salah Satu Universitas Terbaik di Asia,https://itb.ac.id/berita/survei-4icu-dan-webometrics-itb-tetap-menjadi-salah-satu-universitas-terbaik-di-asia/3962,"Selasa, 2 - Juli - 2013, 20:26:17",Akbar Syahid Rabbani,Akbar Syahid Rabbani,,"[""https://itb.ac.id/files/97/20130702/1372769758.jpg""]",[]
"Kenaikan Harga BBM : Jauhkan Keluhan, Hadapi dengan Perencanaan Keuangan",https://itb.ac.id/berita/kenaikan-harga-bbm-jauhkan-keluhan-hadapi-dengan-perencanaan-keuangan/3960,"Minggu, 30 - Juni - 2013, 17:40:04",Shabrina Salsabila,Shabrina Salsabila,,"[""https://itb.ac.id/files/101/20130630/1372581559.jpg"", ""https://itb.ac.id/files/101/20130630/1372581559.jpg""]",[]
IICIES 2013 : UKM Mengglobal untuk Kemajuan Indonesia,https://itb.ac.id/berita/iicies-2013-ukm-mengglobal-untuk-kemajuan-indonesia/3959,"Minggu, 30 - Juni - 2013, 16:42:23",Medhira Handinidevi,Medhira Handinidevi,,"[""https://itb.ac.id/files/99/20130630/1372564820.jpg""]",[]
"Jelang Ramadhan, IWK-ITB Gelar Bazaar Murah",https://itb.ac.id/berita/jelang-ramadhan-iwk-itb-gelar-bazaar-murah/3958,"Minggu, 30 - Juni - 2013, 09:57:34",Ahmad Furqan Hala,Ahmad Furqan Hala,"BANDUNG, itb.ac.id - Menjelang datangnya bulan suci Ramadhan, Ikatan Wanita Keluarga ITB (IWK-ITB) menggelar bazaar murah pada Kamis lalu (27/06/13). Bazaar murah ini diadakan sejak pukul delapan pagi di lapangan Campus Centre Timur ITB. Bazaar murah ini ditujukan untuk segenap civitas akademika ITB, baik dosen, mahasiswa, karyawan maupun keluarga besar ITB lainnya.","[""https://itb.ac.id/files/96/20130629/1372517462.jpg"", ""https://itb.ac.id/files/96/20130629/1372517462.jpg""]",[]
